LoopNumber,Date,Time,Latitude1,Longtitude1,Latitude2,Longtitude2,distance,km/s,km/hr,Country,City,LatAccuracy,LongAccuracy
1762,07/05/2022,01:33:34:024484,44.79279198,60.6105566,44.63335311,60.98568888,34.53981287,6.907962574,24868.66527,KZ,Qazaly,1.129426885,1.121811119
1763,07/05/2022,01:33:39:334767,44.62391384,61.00772935,44.46298938,61.38065066,34.549184,6.909836799,24875.41248,KZ,Qazaly,1.299790618,0.726849341
1764,07/05/2022,01:33:44:979635,44.45326294,61.40302099,44.29089605,61.77366771,34.55240889,6.910481779,24877.7344,KZ,Qazaly,1.471883946,0.333832286
1765,07/05/2022,01:33:50:280287,44.27020073,61.82053714,44.10637642,62.18864491,34.54373751,6.908747503,24871.49101,KZ,Qazaly,1.656403585,0.081144911
1766,07/05/2022,01:33:55:572983,44.09674536,62.21012672,43.93148041,62.57605694,34.55431559,6.910863118,24879.10722,KZ,Baykonyr,1.685189586,0.740613059
1767,07/05/2022,01:34:01:203260,43.92208338,62.59671299,43.75544171,62.96037622,34.55538261,6.911076522,24879.87548,UZ,Uchquduq Shahri,1.605431715,0.591833778
1768,07/05/2022,01:34:06:515831,43.73468958,63.00531815,43.56664373,63.36648892,34.54784463,6.909568927,24874.44814,UZ,Uchquduq Shahri,1.416633725,0.185721084
1769,07/05/2022,01:34:11:817966,43.55636571,63.38842143,43.38692777,63.7474287,34.55791333,6.911582667,24881.6976,UZ,Uchquduq Shahri,1.236917768,0.195218705
1770,07/05/2022,01:34:17:426967,43.37697375,63.76837094,43.20624405,64.12505729,34.55142402,6.910284804,24877.02529,UZ,Uchquduq Shahri,1.056234049,0.572847287
1771,07/05/2022,01:34:22:737715,43.18567182,64.16771987,43.01355585,64.52204048,34.5521359,6.91042718,24877.53785,UZ,Tomdibuloq,1.262755851,0.09506952
1772,07/05/2022,01:34:28:036094,43.00309415,64.54342838,42.82963566,64.89561325,34.56201387,6.912402773,24884.64998,UZ,Tomdibuloq,1.078835657,0.27850325
1773,07/05/2022,01:34:33:655143,42.81957753,64.91589569,42.64483911,65.26587162,34.56314869,6.912629737,24885.46705,UZ,Tomdibuloq,0.894039108,0.648761617
1774,07/05/2022,01:34:38:959302,42.62348154,65.30834156,42.44744075,65.65591297,34.55694397,6.911388793,24880.99966,UZ,Tomdibuloq,0.696640755,1.038802974
1775,07/05/2022,01:34:44:272457,42.4369804,65.67642752,42.25965034,66.02188978,34.56592378,6.913184757,24887.46512,UZ,Tomdibuloq,0.508850336,1.40477978
1776,07/05/2022,01:34:49:933968,42.24884272,66.04280473,42.07027552,66.3860902,34.56732357,6.913464714,24888.47297,UZ,Nurota Shahri,1.502655522,0.706620196
1777,07/05/2022,01:34:55:226248,42.04693309,66.43065067,41.86710769,66.77154912,34.56055603,6.912111207,24883.60034,KZ,Shardara,0.605287686,1.212820883
1778,07/05/2022,01:35:00:536030,41.85684772,66.79087314,41.67578236,67.12970272,34.56943441,6.913886883,24889.99278,KZ,Shardara,0.413962362,0.854667279
1779,07/05/2022,01:35:06:177409,41.66486535,67.15000035,41.48260673,67.48669985,34.57149259,6.914298518,24891.47466,KZ,Shardara,0.220786727,0.49767015
1780,07/05/2022,01:35:11:469016,41.459524,67.52905355,41.27606256,67.86341653,34.56455034,6.912910069,24886.47625,KZ,Shardara,0.014242557,0.12095347
1781,07/05/2022,01:35:16:771635,41.26562238,67.88232435,41.08096291,68.21466327,34.57398359,6.914796718,24893.26818,KZ,Asykata,0.186362912,0.149636727
1782,07/05/2022,01:35:22:417580,41.07009867,68.23409401,40.8842964,68.5643405,34.57534391,6.915068783,24894.24762,KZ,Ilyich,0.036476403,0.057910498
1783,07/05/2022,01:35:27:723926,40.86059225,68.60619518,40.67363155,68.93415531,34.56896966,6.913793932,24889.65816,UZ,Guliston,0.183911549,0.14998531
1784,07/05/2022,01:35:33:033371,40.66244185,68.95366366,40.47432034,69.27964094,34.57898056,6.915796111,24896.866,TJ,Buston,0.048539664,0.053429064
1785,07/05/2022,01:35:38:672669,40.46299886,69.29913969,40.27377524,69.62306881,34.58067303,6.916134606,24898.08458,TJ,Khujand,0.008784765,0.000908811
1786,07/05/2022,01:35:43:964746,40.24989807,69.66368272,40.05956888,69.98536943,34.57349431,6.914698861,24892.9159,TJ,Ghafurov,0.156141121,0.256699428
1787,07/05/2022,01:35:49:258562,40.04872261,70.00359251,39.85727771,70.32334548,34.5835065,6.916701301,24900.12468,TJ,Vorukh,0.006027708,0.256774522
1788,07/05/2022,01:35:54:893754,39.84635907,70.34147458,39.65386013,70.65922721,34.58477679,6.916955358,24901.03929,TJ,Vorukh,0.197389871,0.079107208
1789,07/05/2022,01:36:00:198816,39.62972896,70.69881279,39.43616624,71.0143828,34.578421,6.915684201,24896.46312,TJ,Karakenja,0.200316236,0.509737204
1790,07/05/2022,01:36:05:496734,39.42463615,71.03307183,39.22999954,71.34674278,34.58781125,6.917562251,24903.2241,TJ,Karakenja,0.005850463,0.177377218
1791,07/05/2022,01:36:11:149482,39.21873954,71.36478522,39.02308943,71.67650147,34.58906972,6.917813945,24904.1302,TJ,Karakenja,0.212760572,0.152381465
1792,07/05/2022,01:36:16:454202,38.99787742,71.71642713,38.80120495,72.02600559,34.5826152,6.91652304,24899.48294,TJ,Karakenja,0.434645049,0.501885585
1793,07/05/2022,01:36:21:742706,38.78950281,72.04432213,38.59179058,72.35205744,34.59300707,6.918601414,24906.96509,TJ,Vanj,0.221010576,0.897317438
1794,07/05/2022,01:36:27:363803,38.5807313,72.36917539,38.38204826,72.67500646,34.59409553,6.918819106,24907.74878,TJ,Rushon,0.437178258,1.117556456
1795,07/05/2022,01:36:32:651492,38.35770985,72.71225128,38.1580532,73.016009,34.58760167,6.917520334,24903.0732,TJ,Murghob,0.012176797,0.950731001
1796,07/05/2022,01:36:37:956312,38.14685928,73.03294663,37.94621206,73.3349031,34.5966397,6.919327941,24909.58059,TJ,Murghob,0.224017941,0.6318369
1797,07/05/2022,01:36:43:563849,37.93432625,73.3526933,37.73273801,73.65279795,34.59874407,6.919748814,24911.09573,TJ,Murghob,0.437491991,0.313942052
1798,07/05/2022,01:36:48:867106,37.70859575,73.6885347,37.50607567,73.98662725,34.5925448,6.918508961,24906.63226,TJ,Murghob,0.66415433,0.019887252
1799,07/05/2022,01:36:54:175844,37.49409053,74.00417462,37.29060962,74.30051575,34.60237011,6.920474022,24913.70648,TJ,Murghob,0.87962038,0.33377575
1800,07/05/2022,01:36:59:791062,37.27840631,74.31819445,37.07403021,74.61271931,34.60292856,6.920585713,24914.10857,PK,Barishal,0.75773021,0.065880688
1801,07/05/2022,01:37:05:093618,37.0492415,74.64824485,36.84397311,74.94080795,34.59654375,6.91930875,24909.5115,PK,Barishal,0.527673113,0.262207951
1802,07/05/2022,01:37:10:377448,36.83184881,74.95799908,36.62564853,75.24887015,34.60755698,6.921511396,24917.44103,PK,Barishal,0.309348533,0.57027015
1803,07/05/2022,01:37:15:983085,36.61431836,75.26477123,36.40726415,75.55388373,34.60794702,6.921589404,24917.72186,PK,Barishal,0.090964145,0.875283731
1804,07/05/2022,01:37:21:265075,36.38255146,75.5882054,36.17464611,75.87541237,34.60134829,6.920269657,24912.97077,PK,Skardu,0.88613611,0.24207237
1805,07/05/2022,01:37:26:554462,36.16322784,75.89110699,35.95443099,76.17667429,34.61192452,6.922384904,24920.58566,PK,Khapalu,0.801750986,0.167365713
1806,07/05/2022,01:37:32:170242,35.94272124,76.19260995,35.7331026,76.47646992,34.61260153,6.922520306,24921.0731,PK,Khapalu,0.580422596,0.132429918
1807,07/05/2022,01:37:37:474471,35.70766214,76.51074082,35.49722865,76.79274578,34.60586089,6.921172178,24916.21984,PK,Khapalu,0.344548647,0.448705779
1808,07/05/2022,01:37:42:762299,35.48473559,76.80940609,35.27344431,77.08980862,34.61581633,6.923163267,24923.38776,IN,Thang,0.346044312,0.296448617
